Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
F14_KNP,F13_KNP,U,-44.33,,-,1.29,3.9,9999
F15_KNP,F13_KNP,HS,-47.48,,1.11,-,2.56,9999
F15_KNP,F14_KNP,U,-47.07,,-,1.71,5.63,9999
F16_KNP,F13_KNP,U,-39.82,,-,0.21,2.58,9999
F16_KNP,F14_KNP,HS,-37.18,,1.12,-,0.99,9999
F16_KNP,F15_KNP,U,-42.57,,-,1.76,5.82,9999
F17_KNP,F13_KNP,U,-51.8,,-,2.11,5.76,9999
F17_KNP,F14_KNP,U,-50.28,,-,0.07,3.39,9999
F17_KNP,F15_KNP,U,-54.54,,-,2.84,7.76,9999
F17_KNP,F16_KNP,HS,-45.3,,0.48,-,0.66,9999
F18_KNP,F13_KNP,U,-50.37,,-,1.78,6.34,9999
F18_KNP,F14_KNP,HS,-47.86,,0.99,-,1,9999
F18_KNP,F15_KNP,U,-53.11,,-,3.93,9.79,9999
F18_KNP,F16_KNP,HS,-43.61,,0.73,-,0.95,9999
F18_KNP,F17_KNP,HS,-55.4,,0.92,-,1.15,9999
F19_KNP,F13_KNP,U,-46.1,,-,1.66,3.44,9999
F19_KNP,F14_KNP,HS,-43.4,,1.17,-,1.35,9999
F19_KNP,F15_KNP,U,-48.84,,-,1.84,5.29,9999
F19_KNP,F16_KNP,HS,-39.54,,0.54,-,1.18,9999
F19_KNP,F17_KNP,U,-52.05,,-,0.21,3.36,9999
F19_KNP,F18_KNP,HS,-50.05,,0.56,-,2.41,9999
F20_KNP,F13_KNP,U,-46.81,,-,3.4,7.64,9999
F20_KNP,F14_KNP,U,-45.29,,-,1.8,5.39,9999
F20_KNP,F15_KNP,HS,-49.51,,0.04,-,1.68,9999
F20_KNP,F16_KNP,U,-40.79,,-,1.61,5.57,9999
F20_KNP,F17_KNP,U,-52.76,,-,2.33,6.64,9999
F20_KNP,F18_KNP,U,-51.33,,-,2.5,7.28,9999
F20_KNP,F19_KNP,U,-47.07,,-,0.59,3.29,9999
F21_KNP,F13_KNP,U,-46.26,,-,1.87,5.68,9999
F21_KNP,F14_KNP,U,-44.74,,-,2.57,6.78,9999
F21_KNP,F15_KNP,HS,-47.65,,1.36,-,0.98,9999
F21_KNP,F16_KNP,U,-40.23,,-,0.57,3.25,9999
F21_KNP,F17_KNP,U,-52.21,,-,0.77,4.65,9999
F21_KNP,F18_KNP,U,-50.78,,-,1.36,4.31,9999
F21_KNP,F19_KNP,U,-46.51,,-,2.49,6.16,9999
F21_KNP,F20_KNP,U,-47.22,,-,1.11,5.16,9999
F22_KNP,F13_KNP,U,-48.52,,-,3.73,8.28,9999
F22_KNP,F14_KNP,U,-47,,-,2.51,6.22,9999
F22_KNP,F15_KNP,U,-51.26,,-,1.98,6.56,9999
F22_KNP,F16_KNP,U,-42.5,,-,1.78,6.22,9999
F22_KNP,F17_KNP,U,-54.47,,-,1.78,5.39,9999
F22_KNP,F18_KNP,U,-53.04,,-,2.1,6.53,9999
F22_KNP,F19_KNP,U,-48.77,,-,3.14,7.5,9999
F22_KNP,F20_KNP,U,-49.49,,-,1.09,3.67,9999
F22_KNP,F21_KNP,PO,-42.88,,6.05,2.14,1.41,-
F23_KNP,F13_KNP,U,-44.36,,-,1.62,5,9999
